Loyalty Number,Country,Province,City,Gender,Education,Salary,salary_missing,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,tenure_years,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_redeemed,active_months,pct_months_active,avg_flights_per_active_month,flight_volatility,redemption_rate,has_redeemed,recency_months,h1_flights,h2_flights,momentum,redemption_momentum,distance_per_flight,hard_churn,behavioral_churn,blended_churn,total_flights_outcome,in_cohort,in_training_cohort,was_active_2017
144514,Canada,British Columbia,Dawson Creek,Female,Bachelor,49618.0,0,Married,Star,3864.78,Standard,2016,6,1.5824777549623545,12.0,16970.0,16970.0,0.0,0.0,5.0,0.4166666666666667,2.4,1.2792042981336627,0.0,0.0,0.0,3.0,9.0,6.0,0.0,1414.1666666666667,0,0,0,19,1,1,1
611765,Canada,Quebec,Quebec City,Male,Bachelor,90175.0,0,Single,Star,3867.97,Standard,2018,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,26,1,0,0
988178,Canada,Quebec,Montreal,Male,College,,1,Single,Star,3871.07,Standard,2013,10,4.249144421629021,38.0,55010.0,55010.0,679.0,122.0,12.0,1.0,3.1666666666666665,1.5859229221975182,0.012343210325395383,1.0,0.0,23.0,15.0,-8.0,-679.0,1447.6315789473683,0,0,0,25,1,1,1
286114,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3872.22,Standard,2016,11,1.163586584531143,14.0,19232.0,19232.0,1165.0,209.0,6.0,0.5,2.3333333333333335,1.5859229221975182,0.0605761231281198,1.0,0.0,3.0,11.0,8.0,-1165.0,1373.7142857142858,0,0,0,12,1,1,1
205785,Canada,Ontario,Toronto,Male,Master,128118.0,0,Married,Star,3873.65,Standard,2016,8,1.4154688569472964,27.0,40831.0,40831.0,1233.0,222.0,9.0,0.75,3.0,1.9128750375000738,0.030197643947001054,1.0,0.0,11.0,16.0,5.0,1233.0,1512.2592592592594,0,0,0,8,1,1,1
735304,Canada,Alberta,Edmonton,Female,Master,128118.0,0,Married,Star,3873.65,Standard,2016,12,1.08145106091718,9.0,16132.0,16132.0,608.0,109.0,6.0,0.5,1.5,0.9653072991634227,0.037689065212000994,1.0,0.0,3.0,6.0,3.0,-608.0,1792.4444444444443,0,0,0,20,1,1,1
438936,Canada,Quebec,Montreal,Male,Bachelor,94092.0,0,Married,Star,3878.77,Standard,2013,10,4.249144421629021,29.0,37432.0,37432.0,0.0,0.0,9.0,0.75,3.2222222222222223,1.9286515936521478,0.0,0.0,0.0,14.0,15.0,1.0,0.0,1290.7586206896551,0,0,0,23,1,1,1
172755,Canada,Alberta,Edmonton,Female,College,,1,Single,Aurora,5303.76,2018 Promotion,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40,1,0,0
354730,Canada,New Brunswick,Fredericton,Female,College,,1,Married,Star,3885.46,Standard,2014,10,3.249828884325804,20.0,36872.0,36872.0,0.0,0.0,8.0,0.6666666666666666,2.5,1.8257418583505536,0.0,0.0,1.0,11.0,9.0,-2.0,0.0,1843.6,1,1,1,0,1,1,1
413741,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3885.46,Standard,2015,7,2.5023956194387407,22.0,42474.0,42474.0,1410.0,253.0,8.0,0.6666666666666666,2.75,2.124888588879783,0.033196779206102554,1.0,1.0,8.0,14.0,6.0,338.0,1930.6363636363637,0,0,0,14,1,1,1
552965,Canada,Quebec,Montreal,Male,College,,1,Married,Star,3885.46,Standard,2018,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0
642313,Canada,Alberta,Edmonton,Male,College,,1,Married,Star,3885.46,Standard,2016,3,1.834360027378508,19.0,23282.0,23282.0,1506.0,271.0,8.0,0.6666666666666666,2.375,1.5642792899510296,0.06468516450476763,1.0,0.0,9.0,10.0,1.0,692.0,1225.3684210526317,0,0,0,14,1,1,1
263080,Canada,Alberta,Edmonton,Male,College,,1,Single,Star,3886.5,Standard,2014,5,3.668720054757016,14.0,16998.0,16998.0,0.0,0.0,4.0,0.3333333333333333,3.5,1.80067327475704,0.0,0.0,2.0,8.0,6.0,-2.0,0.0,1214.142857142857,0,0,0,15,1,1,1
109767,Canada,Ontario,Toronto,Female,Bachelor,89062.0,0,Single,Star,3886.65,Standard,2016,5,1.6673511293634498,19.0,31203.0,31203.0,1151.0,207.0,11.0,0.9166666666666666,1.7272727272727273,0.996204919895622,0.036887478768067174,1.0,0.0,9.0,10.0,1.0,159.0,1642.2631578947369,0,0,0,25,1,1,1
217754,Canada,Quebec,Montreal,Female,Bachelor,102400.0,0,Single,Star,3887.32,Standard,2015,6,2.5845311430527036,20.0,33727.0,33727.0,0.0,0.0,7.0,0.5833333333333334,2.857142857142857,2.1461734799546393,0.0,0.0,4.0,11.0,9.0,-2.0,0.0,1686.35,0,0,0,12,1,1,1
157005,Canada,British Columbia,Vancouver,Male,Bachelor,98629.0,0,Married,Star,3890.87,Standard,2016,10,1.2484599589322383,28.0,36212.0,36212.0,0.0,0.0,11.0,0.9166666666666666,2.5454545454545454,1.497472618255253,0.0,0.0,1.0,15.0,13.0,-2.0,0.0,1293.2857142857142,0,0,0,20,1,1,1
557752,Canada,Ontario,Toronto,Female,Bachelor,98629.0,0,Married,Star,3890.87,Standard,2017,10,0.24914442162902123,5.0,11255.0,11255.0,0.0,0.0,1.0,0.08333333333333333,5.0,1.4433756729740643,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2251.0,0,0,0,17,1,1,1
608758,Canada,Ontario,Ottawa,Male,Bachelor,63795.0,0,Married,Star,3890.96,Standard,2013,7,4.501026694045175,13.0,24928.0,24928.0,0.0,0.0,7.0,0.5833333333333334,1.8571428571428572,1.4433756729740645,0.0,0.0,0.0,6.0,7.0,1.0,0.0,1917.5384615384614,0,0,0,27,1,1,1
599341,Canada,Quebec,Tremblant,Female,Bachelor,54890.0,0,Married,Star,3891.54,Standard,2015,11,2.1656399726214923,37.0,68642.0,68642.0,983.0,177.0,12.0,1.0,3.0833333333333335,1.6213537179739277,0.01432067830191428,1.0,0.0,12.0,25.0,13.0,107.0,1855.1891891891892,0,0,0,21,1,1,1
333502,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,3891.58,Standard,2014,3,3.8357289527720737,14.0,19704.0,19704.0,0.0,0.0,4.0,0.3333333333333333,3.5,1.8504708655481243,0.0,0.0,1.0,3.0,11.0,8.0,0.0,1407.4285714285713,0,0,0,28,1,1,1
201574,Canada,Ontario,Ottawa,Female,Bachelor,51375.0,0,Married,Star,3893.31,Standard,2015,4,2.751540041067762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
403361,Canada,British Columbia,Vancouver,Male,Bachelor,70222.0,0,Single,Star,3895.03,Standard,2017,10,0.24914442162902123,3.0,6183.0,6183.0,0.0,0.0,1.0,0.08333333333333333,3.0,0.8660254037844386,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2061.0,0,0,0,16,1,1,1
543918,Canada,Quebec,Montreal,Male,High School or Below,40736.0,0,Married,Star,3896.57,Standard,2012,11,5.163586584531143,30.0,41922.0,41922.0,1987.0,357.0,10.0,0.8333333333333334,3.0,1.6236882817719773,0.04739754782691665,1.0,0.0,11.0,19.0,8.0,227.0,1397.4,0,0,0,22,1,1,1
806030,Canada,Alberta,Calgary,Female,Bachelor,75861.0,0,Married,Star,3903.47,Standard,2018,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,1,0,0
119200,Canada,British Columbia,Vancouver,Female,Bachelor,69835.0,0,Divorced,Star,3903.8,Standard,2017,5,0.6680355920602327,10.0,14956.0,14956.0,0.0,0.0,4.0,0.3333333333333333,2.5,1.5859229221975182,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1495.6,0,0,0,21,1,1,1
938981,Canada,Alberta,Edmonton,Female,College,,1,Single,Aurora,5337.35,2018 Promotion,2018,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,1,0,0
238119,Canada,Quebec,Montreal,Male,Bachelor,75980.0,0,Married,Star,3906.67,Standard,2013,5,4.6680355920602326,25.0,38650.0,38650.0,0.0,0.0,8.0,0.6666666666666666,3.125,2.0207259421636903,0.0,0.0,0.0,12.0,13.0,1.0,0.0,1546.0,0,0,0,25,1,1,1
730388,Canada,Ontario,Thunder Bay,Male,College,,1,Single,Star,3907.03,Standard,2012,5,5.66735112936345,23.0,34172.0,34172.0,0.0,0.0,8.0,0.6666666666666666,2.875,1.8319554050414564,0.0,0.0,0.0,10.0,13.0,3.0,0.0,1485.7391304347825,0,0,0,26,1,1,1
834891,Canada,British Columbia,Vancouver,Female,Bachelor,54460.0,0,Married,Star,3911.12,Standard,2017,3,0.8350444900752909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
127400,Canada,British Columbia,Whistler,Female,College,,1,Single,Star,3914.72,Standard,2014,6,3.583846680355921,13.0,15098.0,15098.0,528.0,95.0,5.0,0.4166666666666667,2.6,1.4433756729740645,0.034971519406543916,1.0,0.0,3.0,10.0,7.0,-528.0,1161.3846153846155,0,0,0,16,1,1,1
324557,Canada,Quebec,Montreal,Female,College,,1,Single,Star,3914.72,Standard,2013,2,4.91170431211499,16.0,25904.0,25904.0,645.0,116.0,8.0,0.6666666666666666,2.0,1.2309149097933274,0.02489962940086473,1.0,1.0,4.0,12.0,8.0,645.0,1619.0,0,0,0,18,1,1,1
742002,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3915.8,Standard,2016,5,1.6673511293634498,13.0,23503.0,23503.0,0.0,0.0,4.0,0.3333333333333333,3.25,1.6764862244009227,0.0,0.0,2.0,9.0,4.0,-5.0,0.0,1807.923076923077,0,0,0,15,1,1,1
536567,Canada,Alberta,Peace River,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2016,5,1.6673511293634498,23.0,28799.0,28799.0,0.0,0.0,7.0,0.5833333333333334,3.2857142857142856,2.108783937953269,0.0,0.0,0.0,4.0,19.0,15.0,0.0,1252.1304347826087,0,0,0,33,1,1,1
704835,Canada,British Columbia,Whistler,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2016,9,1.3305954825462012,18.0,26459.0,26459.0,963.0,173.0,7.0,0.5833333333333334,2.5714285714285716,1.4459976109624424,0.036395933330813715,1.0,0.0,6.0,12.0,6.0,39.0,1469.9444444444443,0,0,0,22,1,1,1
733338,Canada,Ontario,Thunder Bay,Female,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2016,6,1.5824777549623545,3.0,4497.0,4497.0,0.0,0.0,1.0,0.08333333333333333,3.0,0.8660254037844386,0.0,0.0,11.0,3.0,0.0,-3.0,0.0,1499.0,0,1,1,0,0,0,1
758635,Canada,Quebec,Montreal,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2018,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1,0,0
823048,Canada,British Columbia,Vancouver,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2018,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18,1,0,0
612905,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3920.51,Standard,2015,2,2.9130732375085557,17.0,26824.0,26824.0,569.0,102.0,7.0,0.5833333333333334,2.4285714285714284,1.5050420310248864,0.021212347151804353,1.0,1.0,6.0,11.0,5.0,569.0,1577.8823529411766,0,0,0,18,1,1,1
679908,Canada,Quebec,Montreal,Female,Bachelor,77601.0,0,Married,Star,3921.02,Standard,2015,8,2.4175222450376452,24.0,39398.0,39398.0,535.0,96.0,9.0,0.75,2.6666666666666665,1.651445647689541,0.013579369511142697,1.0,1.0,17.0,7.0,-10.0,-535.0,1641.5833333333333,0,0,0,12,1,1,1
704150,Canada,Manitoba,Winnipeg,Male,Bachelor,77601.0,0,Married,Star,3921.02,Standard,2014,10,3.249828884325804,19.0,23665.0,23665.0,409.0,74.0,8.0,0.6666666666666666,2.375,1.6213537179739277,0.017282907246989224,1.0,0.0,13.0,6.0,-7.0,-409.0,1245.5263157894738,0,0,0,17,1,1,1
869743,Canada,Ontario,Sudbury,Female,Bachelor,73236.0,0,Single,Star,3924.42,Standard,2016,11,1.163586584531143,15.0,16548.0,16548.0,0.0,0.0,5.0,0.4166666666666667,3.0,1.712255291076124,0.0,0.0,5.0,12.0,3.0,-9.0,0.0,1103.2,0,1,1,0,0,0,1
596179,Canada,New Brunswick,Fredericton,Female,Bachelor,50879.0,0,Single,Star,3933.81,Standard,2014,3,3.8357289527720737,30.0,51941.0,51941.0,0.0,0.0,9.0,0.75,3.3333333333333335,1.834021909257456,0.0,0.0,2.0,21.0,9.0,-12.0,0.0,1731.3666666666666,0,0,0,14,1,1,1
370450,Canada,Ontario,Thunder Bay,Female,High School or Below,62160.0,0,Married,Star,3934.1,Standard,2012,11,5.163586584531143,16.0,20586.0,20586.0,1382.0,249.0,6.0,0.5,2.6666666666666665,1.6143297699232975,0.06713300301175557,1.0,0.0,7.0,9.0,2.0,-1382.0,1286.625,0,0,0,28,1,1,1
501030,Canada,British Columbia,Vancouver,Male,Bachelor,93541.0,0,Married,Star,3934.71,Standard,2017,3,0.8350444900752909,17.0,19608.0,19608.0,0.0,0.0,7.0,0.5833333333333334,2.4285714285714284,1.5050420310248864,0.0,0.0,0.0,4.0,13.0,9.0,0.0,1153.4117647058824,0,0,0,9,1,1,1
878633,Canada,Ontario,Trenton,Female,Doctor,163974.0,0,Married,Star,3936.79,Standard,2013,12,4.082135523613963,27.0,34014.0,34014.0,0.0,0.0,7.0,0.5833333333333334,3.857142857142857,2.220769727328383,0.0,0.0,0.0,17.0,10.0,-7.0,0.0,1259.7777777777778,0,0,0,17,1,1,1
285938,Canada,Quebec,Montreal,Female,Bachelor,75827.0,0,Married,Star,3939.01,Standard,2014,9,3.3319644079397674,22.0,34494.0,34494.0,0.0,0.0,8.0,0.6666666666666666,2.75,1.5859229221975182,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1567.909090909091,0,0,0,18,1,1,1
588237,Canada,Quebec,Tremblant,Male,Bachelor,75827.0,0,Married,Star,3939.01,Standard,2013,11,4.164271047227926,23.0,22941.0,22941.0,939.0,169.0,8.0,0.6666666666666666,2.875,1.7816403745544227,0.04093108408526219,1.0,1.0,14.0,9.0,-5.0,-939.0,997.4347826086956,0,0,0,10,1,1,1
645280,Canada,British Columbia,West Vancouver,Male,Bachelor,75827.0,0,Married,Star,3939.01,Standard,2012,12,5.08145106091718,26.0,28662.0,28662.0,813.0,146.0,9.0,0.75,2.888888888888889,1.8989630344113089,0.028365082687879423,1.0,1.0,13.0,13.0,0.0,-191.0,1102.3846153846155,0,0,0,17,1,1,1
864324,Canada,Quebec,Quebec City,Female,Bachelor,75827.0,0,Married,Star,3939.01,Standard,2018,6,0.0,18.0,24458.0,24458.0,588.0,106.0,7.0,0.5833333333333334,2.5714285714285716,1.5666989036012806,0.024041213508872353,1.0,0.0,5.0,13.0,8.0,-588.0,1358.7777777777778,0,0,0,25,1,0,1
124678,Canada,Nova Scotia,Halifax,Male,Doctor,152955.0,0,Married,Star,3954.34,Standard,2013,6,4.583162217659138,26.0,42652.0,42652.0,304.0,55.0,9.0,0.75,2.888888888888889,1.992409839791244,0.007127450060958455,1.0,1.0,14.0,12.0,-2.0,-304.0,1640.4615384615386,0,0,0,25,1,1,1
186015,Canada,British Columbia,Vancouver,Male,Doctor,152955.0,0,Married,Star,3954.34,Standard,2015,9,2.3326488706365502,16.0,26002.0,26002.0,0.0,0.0,5.0,0.4166666666666667,3.2,1.9694638556693238,0.0,0.0,0.0,10.0,6.0,-4.0,0.0,1625.125,0,0,0,25,1,1,1
461108,Canada,Quebec,Montreal,Male,Doctor,152955.0,0,Married,Star,3954.34,Standard,2018,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,1,0,0
589580,Canada,British Columbia,Whistler,Male,Doctor,152955.0,0,Married,Star,3954.34,Standard,2015,8,2.4175222450376452,27.0,49010.0,49010.0,718.0,129.0,8.0,0.6666666666666666,3.375,1.815338686155987,0.014650071413997143,1.0,0.0,16.0,11.0,-5.0,718.0,1815.1851851851852,0,0,0,25,1,1,1
623688,Canada,Ontario,London,Female,Doctor,152955.0,0,Married,Star,3954.34,Standard,2016,5,1.6673511293634498,28.0,48235.0,48235.0,690.0,124.0,9.0,0.75,3.111111111111111,1.669694219873444,0.0143049652741785,1.0,0.0,15.0,13.0,-2.0,690.0,1722.6785714285713,0,0,0,26,1,1,1
386082,Canada,Alberta,Edmonton,Female,Bachelor,30486.0,0,Divorced,Aurora,5391.97,2018 Promotion,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,40,1,0,0
256147,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3958.0,Standard,2012,9,5.330595482546201,26.0,42247.0,42247.0,339.0,61.0,9.0,0.75,2.888888888888889,2.0375267241229382,0.008024238407460884,1.0,0.0,13.0,13.0,0.0,339.0,1624.8846153846155,0,0,0,20,1,1,1
329382,Canada,Quebec,Montreal,Male,College,,1,Single,Star,3961.59,Standard,2012,8,5.415468856947296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,1,0
140392,Canada,British Columbia,Vancouver,Female,Bachelor,96814.0,0,Married,Star,3963.39,Standard,2013,7,4.501026694045175,15.0,15254.0,15254.0,567.0,102.0,7.0,0.5833333333333334,2.142857142857143,1.4847711791873706,0.03717057820899436,1.0,2.0,4.0,11.0,7.0,567.0,1016.9333333333333,0,0,0,17,1,1,1
112522,Canada,Alberta,Peace River,Male,Bachelor,49846.0,0,Married,Aurora,5636.74,2018 Promotion,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,50,1,0,0
230908,Canada,British Columbia,Vancouver,Male,Doctor,217538.0,0,Divorced,Star,3964.15,Standard,2012,5,5.66735112936345,29.0,43406.0,43406.0,822.0,148.0,9.0,0.75,3.2222222222222223,1.8319554050414564,0.018937474081924158,1.0,0.0,16.0,13.0,-3.0,822.0,1496.7586206896551,0,0,0,20,1,1,1
972581,Canada,British Columbia,Vancouver,Male,High School or Below,48744.0,0,Married,Star,3964.53,Standard,2016,2,1.9137577002053388,16.0,20391.0,20391.0,639.0,115.0,8.0,0.6666666666666666,2.0,1.2309149097933272,0.03133735471531558,1.0,1.0,9.0,7.0,-2.0,639.0,1274.4375,0,0,0,12,1,1,1
357549,Canada,British Columbia,Whistler,Female,Bachelor,76410.0,0,Single,Star,3964.73,Standard,2018,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,1,0,0
330694,Canada,Alberta,Edmonton,Female,Bachelor,105053.0,0,Married,Aurora,6172.91,2018 Promotion,2018,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,1,0,0
910875,Canada,Quebec,Hull,Female,Bachelor,84914.0,0,Married,Star,3966.13,Standard,2012,11,5.163586584531143,8.0,18109.0,18109.0,0.0,0.0,4.0,0.3333333333333333,2.0,1.0730867399773198,0.0,0.0,5.0,7.0,1.0,-6.0,0.0,2263.625,0,0,0,24,1,1,1
501704,Canada,Quebec,Hull,Male,College,,1,Divorced,Star,3974.86,Standard,2013,5,4.6680355920602326,18.0,16769.0,16769.0,2034.0,366.0,5.0,0.4166666666666667,3.6,2.0670576365276494,0.12129524718230067,1.0,0.0,7.0,11.0,4.0,880.0,931.6111111111111,0,0,0,21,1,1,1
529098,Canada,British Columbia,Vancouver,Female,College,,1,Divorced,Star,3974.86,Standard,2017,10,0.24914442162902123,5.0,6230.0,6230.0,467.0,84.0,1.0,0.08333333333333333,5.0,1.4433756729740643,0.07495987158908507,1.0,0.0,0.0,5.0,5.0,467.0,1246.0,0,0,0,19,1,1,1
265297,Canada,Manitoba,Winnipeg,Female,Bachelor,60519.0,0,Married,Star,3978.67,Standard,2018,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,11,1,0,0
567875,Canada,Quebec,Quebec City,Female,Bachelor,102457.0,0,Married,Star,3979.72,Standard,2017,5,0.6680355920602327,4.0,9037.0,9037.0,0.0,0.0,3.0,0.25,1.3333333333333333,0.6513389472789296,0.0,0.0,0.0,1.0,3.0,2.0,0.0,2259.25,0,0,0,11,1,1,1
688524,Canada,Manitoba,Winnipeg,Female,Bachelor,103862.0,0,Married,Star,3980.42,Standard,2013,3,4.8350444900752905,11.0,15613.0,15613.0,1993.0,359.0,5.0,0.4166666666666667,2.2,1.3789543689024493,0.12765003522705437,1.0,0.0,5.0,6.0,1.0,-1065.0,1419.3636363636363,0,0,0,13,1,1,1
269070,Canada,British Columbia,Vancouver,Male,Master,93153.0,0,Married,Star,3985.32,Standard,2013,1,4.996577686516085,28.0,35858.0,35858.0,673.0,121.0,11.0,0.9166666666666666,2.5454545454545454,1.4354811251305468,0.01876847565396843,1.0,0.0,14.0,14.0,0.0,673.0,1280.642857142857,0,0,0,14,1,1,1
387705,Canada,Quebec,Hull,Female,Master,93153.0,0,Married,Star,3985.32,Standard,2013,4,4.7501711156741955,20.0,30308.0,30308.0,472.0,85.0,6.0,0.5,3.3333333333333335,1.874873733122184,0.015573445954863402,1.0,1.0,5.0,15.0,10.0,-472.0,1515.4,0,0,0,25,1,1,1
923293,Canada,Saskatchewan,Regina,Male,Bachelor,86793.0,0,Divorced,Star,3985.55,Standard,2016,6,1.5824777549623545,32.0,36863.0,36863.0,412.0,74.0,10.0,0.8333333333333334,3.2,1.9227505550564008,0.01117651846024469,1.0,0.0,13.0,19.0,6.0,-412.0,1151.96875,0,0,0,9,1,1,1
283314,Canada,Ontario,Toronto,Female,Bachelor,72127.0,0,Married,Star,3991.73,Standard,2013,4,4.7501711156741955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
322102,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,3992.58,Standard,2013,8,4.41615331964408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0
