Loyalty Number,Country,Province,City,Gender,Education,Salary,salary_missing,Marital Status,Loyalty Card,CLV,Enrollment Type,Enrollment Year,Enrollment Month,tenure_years,total_flights,total_distance,total_points_accumulated,total_points_redeemed,total_dollar_redeemed,active_months,pct_months_active,avg_flights_per_active_month,flight_volatility,redemption_rate,has_redeemed,recency_months,h1_flights,h2_flights,momentum,redemption_momentum,distance_per_flight,hard_churn,behavioral_churn,blended_churn,total_flights_outcome,in_cohort,in_training_cohort,was_active_2017,churn_risk_score,segment,segment_name,clv_tier,risk_tier,value_quadrant,action_group,recommended_action,timing,success_metric
988178,Canada,Quebec,Montreal,Male,College,,1,Single,Star,3871.07,Standard,2013,10,4.249144421629021,38.0,55010.0,55010.0,679.0,122.0,12.0,1.0,3.1666666666666665,1.5859229221975182,0.0123432103253953,1.0,0.0,23.0,15.0,-8.0,-679.0,1447.6315789473683,0,0,0,25,1,1,1,0.0273532318308356,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
286114,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3872.22,Standard,2016,11,1.163586584531143,14.0,19232.0,19232.0,1165.0,209.0,6.0,0.5,2.333333333333333,1.5859229221975182,0.0605761231281198,1.0,0.0,3.0,11.0,8.0,-1165.0,1373.7142857142858,0,0,0,12,1,1,1,0.0249812677192065,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
205785,Canada,Ontario,Toronto,Male,Master,128118.0,0,Married,Star,3873.65,Standard,2016,8,1.4154688569472964,27.0,40831.0,40831.0,1233.0,222.0,9.0,0.75,3.0,1.9128750375000736,0.030197643947001,1.0,0.0,11.0,16.0,5.0,1233.0,1512.2592592592594,0,0,0,8,1,1,1,0.0244032932070103,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
735304,Canada,Alberta,Edmonton,Female,Master,128118.0,0,Married,Star,3873.65,Standard,2016,12,1.08145106091718,9.0,16132.0,16132.0,608.0,109.0,6.0,0.5,1.5,0.9653072991634228,0.0376890652120009,1.0,0.0,3.0,6.0,3.0,-608.0,1792.4444444444443,0,0,0,20,1,1,1,0.0370585889501904,2,New / Onboarding,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
438936,Canada,Quebec,Montreal,Male,Bachelor,94092.0,0,Married,Star,3878.77,Standard,2013,10,4.249144421629021,29.0,37432.0,37432.0,0.0,0.0,9.0,0.75,3.2222222222222223,1.928651593652148,0.0,0.0,0.0,14.0,15.0,1.0,0.0,1290.7586206896551,0,0,0,23,1,1,1,0.0252208068482155,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
172755,Canada,Alberta,Edmonton,Female,College,,1,Single,Aurora,5303.76,2018 Promotion,2018,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,40,1,0,0,0.215261067196287,2,New / Onboarding,Low/Mid CLV,Elevated Risk,Win-Back Priority,New / Onboarding journey,Welcome series + first-flight bonus + 30/90-day check-ins,Always-on (from enrollment),% completing 1 flight + 1 redemption in 6 months
354730,Canada,New Brunswick,Fredericton,Female,College,,1,Married,Star,3885.46,Standard,2014,10,3.249828884325804,20.0,36872.0,36872.0,0.0,0.0,8.0,0.6666666666666666,2.5,1.8257418583505536,0.0,0.0,1.0,11.0,9.0,-2.0,0.0,1843.6,1,1,1,0,1,1,1,0.0225085035510919,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
413741,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3885.46,Standard,2015,7,2.5023956194387407,22.0,42474.0,42474.0,1410.0,253.0,8.0,0.6666666666666666,2.75,2.124888588879783,0.0331967792061025,1.0,1.0,8.0,14.0,6.0,338.0,1930.636363636364,0,0,0,14,1,1,1,0.0271596399710634,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
552965,Canada,Quebec,Montreal,Male,College,,1,Married,Star,3885.46,Standard,2018,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,3,1,0,0,0.1790735835060406,1,Dormant / Lapsed,Low/Mid CLV,Elevated Risk,Win-Back Priority,New / Onboarding journey,Welcome series + first-flight bonus + 30/90-day check-ins,Always-on (from enrollment),% completing 1 flight + 1 redemption in 6 months
642313,Canada,Alberta,Edmonton,Male,College,,1,Married,Star,3885.46,Standard,2016,3,1.834360027378508,19.0,23282.0,23282.0,1506.0,271.0,8.0,0.6666666666666666,2.375,1.5642792899510296,0.0646851645047676,1.0,0.0,9.0,10.0,1.0,692.0,1225.3684210526317,0,0,0,14,1,1,1,0.0237437677301079,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
263080,Canada,Alberta,Edmonton,Male,College,,1,Single,Star,3886.5,Standard,2014,5,3.668720054757016,14.0,16998.0,16998.0,0.0,0.0,4.0,0.3333333333333333,3.5,1.80067327475704,0.0,0.0,2.0,8.0,6.0,-2.0,0.0,1214.142857142857,0,0,0,15,1,1,1,0.0367940964083709,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
109767,Canada,Ontario,Toronto,Female,Bachelor,89062.0,0,Single,Star,3886.65,Standard,2016,5,1.6673511293634498,19.0,31203.0,31203.0,1151.0,207.0,11.0,0.9166666666666666,1.7272727272727273,0.996204919895622,0.0368874787680671,1.0,0.0,9.0,10.0,1.0,159.0,1642.2631578947369,0,0,0,25,1,1,1,0.0242167792107904,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
217754,Canada,Quebec,Montreal,Female,Bachelor,102400.0,0,Single,Star,3887.32,Standard,2015,6,2.584531143052704,20.0,33727.0,33727.0,0.0,0.0,7.0,0.5833333333333334,2.857142857142857,2.14617347995464,0.0,0.0,4.0,11.0,9.0,-2.0,0.0,1686.35,0,0,0,12,1,1,1,0.029777988079693,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
157005,Canada,British Columbia,Vancouver,Male,Bachelor,98629.0,0,Married,Star,3890.87,Standard,2016,10,1.2484599589322385,28.0,36212.0,36212.0,0.0,0.0,11.0,0.9166666666666666,2.5454545454545454,1.497472618255253,0.0,0.0,1.0,15.0,13.0,-2.0,0.0,1293.2857142857142,0,0,0,20,1,1,1,0.0249266258341209,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
557752,Canada,Ontario,Toronto,Female,Bachelor,98629.0,0,Married,Star,3890.87,Standard,2017,10,0.2491444216290212,5.0,11255.0,11255.0,0.0,0.0,1.0,0.0833333333333333,5.0,1.4433756729740643,0.0,0.0,0.0,0.0,5.0,5.0,0.0,2251.0,0,0,0,17,1,1,1,0.133083591568329,2,New / Onboarding,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
608758,Canada,Ontario,Ottawa,Male,Bachelor,63795.0,0,Married,Star,3890.96,Standard,2013,7,4.501026694045175,13.0,24928.0,24928.0,0.0,0.0,7.0,0.5833333333333334,1.8571428571428568,1.4433756729740643,0.0,0.0,0.0,6.0,7.0,1.0,0.0,1917.5384615384608,0,0,0,27,1,1,1,0.0197407514249833,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
599341,Canada,Quebec,Tremblant,Female,Bachelor,54890.0,0,Married,Star,3891.54,Standard,2015,11,2.1656399726214923,37.0,68642.0,68642.0,983.0,177.0,12.0,1.0,3.083333333333333,1.6213537179739277,0.0143206783019142,1.0,0.0,12.0,25.0,13.0,107.0,1855.1891891891887,0,0,0,21,1,1,1,0.0245746632108021,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
333502,Canada,British Columbia,Vancouver,Male,College,,1,Married,Star,3891.58,Standard,2014,3,3.8357289527720737,14.0,19704.0,19704.0,0.0,0.0,4.0,0.3333333333333333,3.5,1.8504708655481243,0.0,0.0,1.0,3.0,11.0,8.0,0.0,1407.428571428571,0,0,0,28,1,1,1,0.032296570324496,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
403361,Canada,British Columbia,Vancouver,Male,Bachelor,70222.0,0,Single,Star,3895.03,Standard,2017,10,0.2491444216290212,3.0,6183.0,6183.0,0.0,0.0,1.0,0.0833333333333333,3.0,0.8660254037844386,0.0,0.0,1.0,0.0,3.0,3.0,0.0,2061.0,0,0,0,16,1,1,1,0.1066466897214242,2,New / Onboarding,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
543918,Canada,Quebec,Montreal,Male,High School or Below,40736.0,0,Married,Star,3896.57,Standard,2012,11,5.163586584531143,30.0,41922.0,41922.0,1987.0,357.0,10.0,0.8333333333333334,3.0,1.623688281771977,0.0473975478269166,1.0,0.0,11.0,19.0,8.0,227.0,1397.4,0,0,0,22,1,1,1,0.0089474614758442,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
806030,Canada,Alberta,Calgary,Female,Bachelor,75861.0,0,Married,Star,3903.47,Standard,2018,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,14,1,0,0,0.1726731006751043,1,Dormant / Lapsed,Low/Mid CLV,Elevated Risk,Win-Back Priority,New / Onboarding journey,Welcome series + first-flight bonus + 30/90-day check-ins,Always-on (from enrollment),% completing 1 flight + 1 redemption in 6 months
119200,Canada,British Columbia,Vancouver,Female,Bachelor,69835.0,0,Divorced,Star,3903.8,Standard,2017,5,0.6680355920602327,10.0,14956.0,14956.0,0.0,0.0,4.0,0.3333333333333333,2.5,1.5859229221975182,0.0,0.0,0.0,5.0,5.0,0.0,0.0,1495.6,0,0,0,21,1,1,1,0.086376036571233,2,New / Onboarding,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
938981,Canada,Alberta,Edmonton,Female,College,,1,Single,Aurora,5337.35,2018 Promotion,2018,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,38,1,0,0,0.215261067196287,2,New / Onboarding,Low/Mid CLV,Elevated Risk,Win-Back Priority,New / Onboarding journey,Welcome series + first-flight bonus + 30/90-day check-ins,Always-on (from enrollment),% completing 1 flight + 1 redemption in 6 months
238119,Canada,Quebec,Montreal,Male,Bachelor,75980.0,0,Married,Star,3906.67,Standard,2013,5,4.6680355920602326,25.0,38650.0,38650.0,0.0,0.0,8.0,0.6666666666666666,3.125,2.0207259421636903,0.0,0.0,0.0,12.0,13.0,1.0,0.0,1546.0,0,0,0,25,1,1,1,0.0222028732771615,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
730388,Canada,Ontario,Thunder Bay,Male,College,,1,Single,Star,3907.03,Standard,2012,5,5.66735112936345,23.0,34172.0,34172.0,0.0,0.0,8.0,0.6666666666666666,2.875,1.8319554050414564,0.0,0.0,0.0,10.0,13.0,3.0,0.0,1485.7391304347825,0,0,0,26,1,1,1,0.0138268025141251,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
127400,Canada,British Columbia,Whistler,Female,College,,1,Single,Star,3914.72,Standard,2014,6,3.583846680355921,13.0,15098.0,15098.0,528.0,95.0,5.0,0.4166666666666667,2.6,1.4433756729740643,0.0349715194065439,1.0,0.0,3.0,10.0,7.0,-528.0,1161.3846153846157,0,0,0,16,1,1,1,0.0304352744356341,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
324557,Canada,Quebec,Montreal,Female,College,,1,Single,Star,3914.72,Standard,2013,2,4.91170431211499,16.0,25904.0,25904.0,645.0,116.0,8.0,0.6666666666666666,2.0,1.2309149097933274,0.0248996294008647,1.0,1.0,4.0,12.0,8.0,645.0,1619.0,0,0,0,18,1,1,1,0.0193521316389529,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
742002,Canada,Ontario,Toronto,Female,College,,1,Single,Star,3915.8,Standard,2016,5,1.6673511293634498,13.0,23503.0,23503.0,0.0,0.0,4.0,0.3333333333333333,3.25,1.6764862244009229,0.0,0.0,2.0,9.0,4.0,-5.0,0.0,1807.923076923077,0,0,0,15,1,1,1,0.0323864722115335,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
536567,Canada,Alberta,Peace River,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2016,5,1.6673511293634498,23.0,28799.0,28799.0,0.0,0.0,7.0,0.5833333333333334,3.2857142857142856,2.108783937953269,0.0,0.0,0.0,4.0,19.0,15.0,0.0,1252.1304347826087,0,0,0,33,1,1,1,0.0350180119161331,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
704835,Canada,British Columbia,Whistler,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2016,9,1.3305954825462012,18.0,26459.0,26459.0,963.0,173.0,7.0,0.5833333333333334,2.571428571428572,1.4459976109624424,0.0363959333308137,1.0,0.0,6.0,12.0,6.0,39.0,1469.9444444444443,0,0,0,22,1,1,1,0.026591371003754,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
758635,Canada,Quebec,Montreal,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2018,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,9,1,0,0,0.1790735835060406,1,Dormant / Lapsed,Low/Mid CLV,Elevated Risk,Win-Back Priority,New / Onboarding journey,Welcome series + first-flight bonus + 30/90-day check-ins,Always-on (from enrollment),% completing 1 flight + 1 redemption in 6 months
823048,Canada,British Columbia,Vancouver,Male,Bachelor,80697.0,0,Married,Star,3919.37,Standard,2018,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0,0,0,18,1,0,0,0.1738745127370975,1,Dormant / Lapsed,Low/Mid CLV,Elevated Risk,Win-Back Priority,New / Onboarding journey,Welcome series + first-flight bonus + 30/90-day check-ins,Always-on (from enrollment),% completing 1 flight + 1 redemption in 6 months
612905,Canada,Ontario,Toronto,Female,College,,1,Married,Star,3920.51,Standard,2015,2,2.913073237508556,17.0,26824.0,26824.0,569.0,102.0,7.0,0.5833333333333334,2.4285714285714284,1.5050420310248864,0.0212123471518043,1.0,1.0,6.0,11.0,5.0,569.0,1577.8823529411766,0,0,0,18,1,1,1,0.0227402698715419,4,Growing Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
679908,Canada,Quebec,Montreal,Female,Bachelor,77601.0,0,Married,Star,3921.02,Standard,2015,8,2.417522245037645,24.0,39398.0,39398.0,535.0,96.0,9.0,0.75,2.6666666666666665,1.651445647689541,0.0135793695111426,1.0,1.0,17.0,7.0,-10.0,-535.0,1641.5833333333333,0,0,0,12,1,1,1,0.0228143911875465,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
704150,Canada,Manitoba,Winnipeg,Male,Bachelor,77601.0,0,Married,Star,3921.02,Standard,2014,10,3.249828884325804,19.0,23665.0,23665.0,409.0,74.0,8.0,0.6666666666666666,2.375,1.6213537179739277,0.0172829072469892,1.0,0.0,13.0,6.0,-7.0,-409.0,1245.5263157894738,0,0,0,17,1,1,1,0.0239699247790353,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
596179,Canada,New Brunswick,Fredericton,Female,Bachelor,50879.0,0,Single,Star,3933.81,Standard,2014,3,3.8357289527720737,30.0,51941.0,51941.0,0.0,0.0,9.0,0.75,3.333333333333333,1.834021909257456,0.0,0.0,2.0,21.0,9.0,-12.0,0.0,1731.3666666666666,0,0,0,14,1,1,1,0.0438244408516005,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
370450,Canada,Ontario,Thunder Bay,Female,High School or Below,62160.0,0,Married,Star,3934.1,Standard,2012,11,5.163586584531143,16.0,20586.0,20586.0,1382.0,249.0,6.0,0.5,2.6666666666666665,1.6143297699232977,0.0671330030117555,1.0,0.0,7.0,9.0,2.0,-1382.0,1286.625,0,0,0,28,1,1,1,0.0099891149937023,3,Cooling Loyalists,Low/Mid CLV,Lower Risk,Steady Base,Light-touch monitoring,Automated quarterly redemption reminder / seasonal promo,Quarterly batch,"Open/click-through rate, incremental bookings vs. control"
