Loyalty Number,Year,Month,Total Flights,Distance,Points Accumulated,Points Redeemed,Dollar Cost Points Redeemed,period
100214,2017,8,0,0,0.0,0,0,2017-08-01
100214,2017,9,2,3378,3378.0,0,0,2017-09-01
100214,2017,10,3,4026,4026.0,0,0,2017-10-01
100214,2017,11,0,0,0.0,402,72,2017-11-01
100214,2017,12,3,7170,7170.0,0,0,2017-12-01
100214,2018,1,0,0,0.0,0,0,2018-01-01
100214,2018,2,0,0,0.0,0,0,2018-02-01
100214,2018,3,1,1563,1563.0,0,0,2018-03-01
100214,2018,4,0,0,0.0,0,0,2018-04-01
100214,2018,5,0,0,0.0,0,0,2018-05-01
100214,2018,6,2,4166,4166.0,0,0,2018-06-01
100214,2018,7,0,0,0.0,0,0,2018-07-01
100214,2018,8,2,3000,3000.0,0,0,2018-08-01
100214,2018,9,4,6032,6032.0,0,0,2018-09-01
100214,2018,10,0,0,0.0,0,0,2018-10-01
100214,2018,11,0,0,0.0,0,0,2018-11-01
100214,2018,12,3,5289,5289.0,0,0,2018-12-01
100272,2017,1,0,0,0.0,0,0,2017-01-01
100272,2017,2,0,0,0.0,0,0,2017-02-01
100272,2017,3,5,10780,10780.0,393,71,2017-03-01
100272,2017,4,4,7512,7512.0,0,0,2017-04-01
100272,2017,5,0,0,0.0,0,0,2017-05-01
100272,2017,6,5,3955,3955.0,0,0,2017-06-01
100272,2017,7,2,2796,2796.0,0,0,2017-07-01
100272,2017,8,0,0,0.0,0,0,2017-08-01
100272,2017,9,0,0,0.0,0,0,2017-09-01
100272,2017,10,0,0,0.0,0,0,2017-10-01
100272,2017,11,1,548,548.0,0,0,2017-11-01
100272,2017,12,3,2895,2895.0,0,0,2017-12-01
100272,2018,1,1,707,707.0,0,0,2018-01-01
100272,2018,2,1,1872,1872.0,0,0,2018-02-01
100272,2018,3,0,0,0.0,0,0,2018-03-01
100272,2018,4,0,0,0.0,0,0,2018-04-01
100272,2018,5,2,3372,3372.0,614,111,2018-05-01
100272,2018,6,4,4148,4148.0,0,0,2018-06-01
100272,2018,7,0,0,0.0,0,0,2018-07-01
100272,2018,8,5,12195,12195.0,0,0,2018-08-01
100272,2018,9,0,0,0.0,0,0,2018-09-01
100272,2018,10,1,2297,2297.0,0,0,2018-10-01
100272,2018,11,3,1920,1920.0,0,0,2018-11-01
100272,2018,12,0,0,0.0,0,0,2018-12-01
100301,2017,1,0,0,0.0,0,0,2017-01-01
100301,2017,2,1,2085,2085.0,0,0,2017-02-01
100301,2017,3,5,4585,4585.0,0,0,2017-03-01
100301,2017,4,0,0,0.0,0,0,2017-04-01
100301,2017,5,4,2556,2556.0,0,0,2017-05-01
100301,2017,6,6,11400,11400.0,0,0,2017-06-01
100301,2017,7,3,6951,6951.0,0,0,2017-07-01
100301,2017,8,2,2496,2496.0,0,0,2017-08-01
100301,2017,9,3,6948,6948.0,0,0,2017-09-01
100301,2017,10,2,1046,1046.0,0,0,2017-10-01
100301,2017,11,3,7128,7128.0,0,0,2017-11-01
100301,2017,12,2,3856,3856.0,0,0,2017-12-01
100301,2018,1,1,1127,1127.0,0,0,2018-01-01
100301,2018,2,1,1451,1451.0,371,67,2018-02-01
100301,2018,3,0,0,0.0,0,0,2018-03-01
100301,2018,4,0,0,0.0,0,0,2018-04-01
100301,2018,5,0,0,0.0,0,0,2018-05-01
100301,2018,6,0,0,0.0,0,0,2018-06-01
100301,2018,7,1,1191,1191.0,464,84,2018-07-01
100301,2018,8,3,6015,6015.0,0,0,2018-08-01
100301,2018,9,0,0,0.0,0,0,2018-09-01
100301,2018,10,0,0,0.0,0,0,2018-10-01
100301,2018,11,1,1425,1425.0,546,98,2018-11-01
100301,2018,12,3,2589,2589.0,0,0,2018-12-01
100364,2017,1,0,0,0.0,0,0,2017-01-01
100364,2017,2,1,1800,1800.0,0,0,2017-02-01
100364,2017,3,0,0,0.0,0,0,2017-03-01
100364,2017,4,4,6288,6288.0,559,101,2017-04-01
100364,2017,5,2,1794,1794.0,0,0,2017-05-01
100364,2017,6,3,4083,4083.0,0,0,2017-06-01
100364,2017,7,3,6783,6783.0,0,0,2017-07-01
100364,2017,8,5,6890,6890.0,0,0,2017-08-01
100364,2017,9,0,0,0.0,0,0,2017-09-01
100364,2017,10,2,1648,1648.0,0,0,2017-10-01
100364,2017,11,0,0,0.0,0,0,2017-11-01
100364,2017,12,2,3502,3502.0,0,0,2017-12-01
100364,2018,1,0,0,0.0,0,0,2018-01-01
100364,2018,2,0,0,0.0,0,0,2018-02-01
100364,2018,3,0,0,0.0,0,0,2018-03-01
100364,2018,4,0,0,0.0,0,0,2018-04-01
100364,2018,5,0,0,0.0,0,0,2018-05-01
100364,2018,6,4,4036,4036.0,0,0,2018-06-01
100364,2018,7,0,0,0.0,0,0,2018-07-01
100364,2018,8,0,0,0.0,0,0,2018-08-01
100364,2018,9,3,1533,1533.0,0,0,2018-09-01
100364,2018,10,2,4926,4926.0,0,0,2018-10-01
100364,2018,11,0,0,0.0,0,0,2018-11-01
100364,2018,12,2,2672,2672.0,0,0,2018-12-01
100380,2017,1,0,0,0.0,0,0,2017-01-01
100380,2017,2,1,953,953.0,0,0,2017-02-01
100380,2017,3,1,513,513.0,561,101,2017-03-01
100380,2017,4,1,716,716.0,0,0,2017-04-01
100380,2017,5,3,1794,1794.0,0,0,2017-05-01
100380,2017,6,1,616,616.0,0,0,2017-06-01
100380,2017,7,0,0,0.0,0,0,2017-07-01
100380,2017,8,3,7278,7278.0,0,0,2017-08-01
100380,2017,9,0,0,0.0,0,0,2017-09-01
100380,2017,10,4,8988,8988.0,0,0,2017-10-01
100380,2017,11,3,5733,5733.0,581,105,2017-11-01
100380,2017,12,0,0,0.0,0,0,2017-12-01
100380,2018,1,3,4248,4248.0,0,0,2018-01-01
100380,2018,2,0,0,0.0,0,0,2018-02-01
100380,2018,3,1,1933,1933.0,0,0,2018-03-01
100380,2018,4,0,0,0.0,0,0,2018-04-01
100380,2018,5,0,0,0.0,0,0,2018-05-01
100380,2018,6,1,630,630.0,0,0,2018-06-01
100380,2018,7,0,0,0.0,0,0,2018-07-01
100380,2018,8,2,3152,3152.0,0,0,2018-08-01
100380,2018,9,1,836,836.0,0,0,2018-09-01
100380,2018,10,0,0,0.0,0,0,2018-10-01
100380,2018,11,4,7928,7928.0,0,0,2018-11-01
100380,2018,12,4,9952,9952.0,0,0,2018-12-01
100428,2017,1,2,4606,4606.0,0,0,2017-01-01
100428,2017,2,1,758,758.0,0,0,2017-02-01
100428,2017,3,0,0,0.0,0,0,2017-03-01
100428,2017,4,0,0,0.0,0,0,2017-04-01
100428,2017,5,4,7252,7252.0,0,0,2017-05-01
100428,2017,6,0,0,0.0,0,0,2017-06-01
100428,2017,7,1,1359,1359.0,828,149,2017-07-01
100428,2017,8,0,0,0.0,0,0,2017-08-01
100428,2017,9,3,5184,5184.0,0,0,2017-09-01
100428,2017,10,0,0,0.0,0,0,2017-10-01
100428,2017,11,0,0,0.0,0,0,2017-11-01
100428,2017,12,1,1806,1806.0,0,0,2017-12-01
100428,2018,1,3,7347,7347.0,0,0,2018-01-01
100428,2018,2,0,0,0.0,0,0,2018-02-01
100428,2018,3,4,7408,7408.0,0,0,2018-03-01
100428,2018,4,0,0,0.0,0,0,2018-04-01
100428,2018,5,1,908,908.0,0,0,2018-05-01
100428,2018,6,0,0,0.0,0,0,2018-06-01
100428,2018,7,4,2436,2436.0,0,0,2018-07-01
100428,2018,8,0,0,0.0,0,0,2018-08-01
100428,2018,9,3,2979,2979.0,495,89,2018-09-01
100428,2018,10,2,4232,4232.0,0,0,2018-10-01
100428,2018,11,3,7071,7071.0,335,60,2018-11-01
100428,2018,12,3,4935,4935.0,0,0,2018-12-01
100504,2017,1,0,0,0.0,0,0,2017-01-01
100504,2017,2,0,0,0.0,0,0,2017-02-01
100504,2017,3,0,0,0.0,0,0,2017-03-01
100504,2017,4,0,0,0.0,0,0,2017-04-01
100504,2017,5,0,0,0.0,0,0,2017-05-01
100504,2017,6,0,0,0.0,0,0,2017-06-01
100504,2017,7,0,0,0.0,0,0,2017-07-01
100504,2017,8,3,3648,3648.0,0,0,2017-08-01
100504,2017,9,0,0,0.0,0,0,2017-09-01
100504,2017,10,4,5052,5052.0,0,0,2017-10-01
100504,2017,11,3,7368,7368.0,0,0,2017-11-01
100504,2017,12,3,5592,5592.0,0,0,2017-12-01
100504,2018,1,3,2772,2772.0,0,0,2018-01-01
100504,2018,2,3,3405,3405.0,0,0,2018-02-01
100504,2018,3,0,0,0.0,0,0,2018-03-01
100504,2018,4,0,0,0.0,0,0,2018-04-01
100504,2018,5,0,0,0.0,0,0,2018-05-01
100504,2018,6,0,0,0.0,0,0,2018-06-01
100504,2018,7,0,0,0.0,0,0,2018-07-01
100504,2018,8,0,0,0.0,0,0,2018-08-01
100504,2018,9,0,0,0.0,0,0,2018-09-01
100504,2018,10,0,0,0.0,0,0,2018-10-01
100504,2018,11,0,0,0.0,0,0,2018-11-01
100504,2018,12,0,0,0.0,0,0,2018-12-01
100550,2017,1,1,990,990.0,0,0,2017-01-01
100550,2017,2,2,3388,3388.0,0,0,2017-02-01
100550,2017,3,2,1436,1436.0,0,0,2017-03-01
100550,2017,4,1,2037,2037.0,0,0,2017-04-01
100550,2017,5,5,3840,3840.0,0,0,2017-05-01
100550,2017,6,0,0,0.0,0,0,2017-06-01
100550,2017,7,5,2750,2750.0,0,0,2017-07-01
100550,2017,8,3,2634,2634.0,0,0,2017-08-01
100550,2017,9,0,0,0.0,0,0,2017-09-01
100550,2017,10,4,2704,2704.0,431,78,2017-10-01
100550,2017,11,0,0,0.0,0,0,2017-11-01
100550,2017,12,0,0,0.0,0,0,2017-12-01
100550,2018,1,3,5175,5175.0,0,0,2018-01-01
100550,2018,2,3,1716,1716.0,0,0,2018-02-01
100550,2018,3,3,6018,6018.0,0,0,2018-03-01
100550,2018,4,1,1369,1369.0,0,0,2018-04-01
100550,2018,5,1,1589,1589.0,0,0,2018-05-01
100550,2018,6,1,777,777.0,0,0,2018-06-01
100550,2018,7,5,11360,11360.0,0,0,2018-07-01
100550,2018,8,0,0,0.0,683,123,2018-08-01
100550,2018,9,0,0,0.0,0,0,2018-09-01
100550,2018,10,2,3904,3904.0,0,0,2018-10-01
100550,2018,11,0,0,0.0,0,0,2018-11-01
100550,2018,12,0,0,0.0,0,0,2018-12-01
100585,2017,1,3,3729,3729.0,461,83,2017-01-01
100585,2017,2,4,9380,9380.0,0,0,2017-02-01
100585,2017,3,2,3810,3810.0,0,0,2017-03-01
100585,2017,4,0,0,0.0,499,90,2017-04-01
100585,2017,5,1,818,818.0,0,0,2017-05-01
100585,2017,6,0,0,0.0,0,0,2017-06-01
100585,2017,7,3,1956,1956.0,0,0,2017-07-01
100585,2017,8,1,1308,1308.0,0,0,2017-08-01
100585,2017,9,4,7932,7932.0,0,0,2017-09-01
100585,2017,10,1,831,831.0,0,0,2017-10-01
100585,2017,11,0,0,0.0,0,0,2017-11-01
100585,2017,12,2,4934,4934.0,0,0,2017-12-01
100585,2018,1,0,0,0.0,0,0,2018-01-01
100585,2018,2,0,0,0.0,0,0,2018-02-01
100585,2018,3,4,4816,4816.0,605,109,2018-03-01
100585,2018,4,0,0,0.0,0,0,2018-04-01
100585,2018,5,5,9760,9760.0,0,0,2018-05-01
100585,2018,6,0,0,0.0,0,0,2018-06-01
100585,2018,7,5,11710,11710.0,832,150,2018-07-01
100585,2018,8,0,0,0.0,0,0,2018-08-01
100585,2018,9,2,4564,4564.0,0,0,2018-09-01
100585,2018,10,0,0,0.0,0,0,2018-10-01
100585,2018,11,0,0,0.0,0,0,2018-11-01
100585,2018,12,4,2564,2564.0,0,0,2018-12-01
100590,2018,2,0,0,0.0,0,0,2018-02-01
100590,2018,3,0,0,0.0,0,0,2018-03-01
100590,2018,4,0,0,0.0,0,0,2018-04-01
100590,2018,5,4,6504,9756.0,0,0,2018-05-01
100590,2018,6,12,15276,22914.0,0,0,2018-06-01
100590,2018,7,12,9168,13752.0,0,0,2018-07-01
100590,2018,8,0,0,0.0,0,0,2018-08-01
100590,2018,9,0,0,0.0,0,0,2018-09-01
100590,2018,10,0,0,0.0,512,92,2018-10-01
100590,2018,11,0,0,0.0,0,0,2018-11-01
100590,2018,12,0,0,0.0,0,0,2018-12-01
100642,2017,1,0,0,0.0,0,0,2017-01-01
100642,2017,2,0,0,0.0,0,0,2017-02-01
100642,2017,3,2,3802,3802.0,0,0,2017-03-01
100642,2017,4,1,777,777.0,0,0,2017-04-01
100642,2017,5,0,0,0.0,0,0,2017-05-01
100642,2017,6,4,7904,7904.0,0,0,2017-06-01
100642,2017,7,1,2246,2246.0,502,90,2017-07-01
100642,2017,8,4,3144,3144.0,0,0,2017-08-01
100642,2017,9,4,8348,8348.0,0,0,2017-09-01
100642,2017,10,3,5052,5052.0,0,0,2017-10-01
100642,2017,11,2,2646,2646.0,0,0,2017-11-01
100642,2017,12,0,0,0.0,0,0,2017-12-01
100642,2018,1,1,1427,1427.0,0,0,2018-01-01
100642,2018,2,0,0,0.0,0,0,2018-02-01
100642,2018,3,0,0,0.0,0,0,2018-03-01
100642,2018,4,1,1931,1931.0,0,0,2018-04-01
100642,2018,5,0,0,0.0,0,0,2018-05-01
100642,2018,6,2,4636,4636.0,0,0,2018-06-01
100642,2018,7,2,3320,3320.0,0,0,2018-07-01
100642,2018,8,4,4080,4080.0,0,0,2018-08-01
100642,2018,9,0,0,0.0,0,0,2018-09-01
100642,2018,10,4,3328,3328.0,0,0,2018-10-01
100642,2018,11,1,745,745.0,0,0,2018-11-01
100642,2018,12,0,0,0.0,0,0,2018-12-01
100644,2017,1,0,0,0.0,0,0,2017-01-01
100644,2017,2,0,0,0.0,0,0,2017-02-01
100644,2017,3,4,4220,4220.0,556,100,2017-03-01
100644,2017,4,0,0,0.0,0,0,2017-04-01
100644,2017,5,2,4638,4638.0,365,66,2017-05-01
100644,2017,6,6,12336,12336.0,0,0,2017-06-01
100644,2017,7,0,0,0.0,0,0,2017-07-01
100644,2017,8,4,9120,9120.0,0,0,2017-08-01
100644,2017,9,1,2499,2499.0,0,0,2017-09-01
100644,2017,10,0,0,0.0,0,0,2017-10-01
100644,2017,11,0,0,0.0,0,0,2017-11-01
100644,2017,12,1,1315,1315.0,0,0,2017-12-01
100644,2018,1,2,1672,1672.0,0,0,2018-01-01
100644,2018,2,0,0,0.0,0,0,2018-02-01
100644,2018,3,0,0,0.0,0,0,2018-03-01
100644,2018,4,0,0,0.0,0,0,2018-04-01
100644,2018,5,2,2394,2394.0,0,0,2018-05-01
100644,2018,6,0,0,0.0,0,0,2018-06-01
100644,2018,7,0,0,0.0,0,0,2018-07-01
100644,2018,8,1,511,511.0,712,128,2018-08-01
100644,2018,9,2,1800,1800.0,0,0,2018-09-01
100644,2018,10,2,1214,1214.0,0,0,2018-10-01
100644,2018,11,2,4220,4220.0,0,0,2018-11-01
100644,2018,12,0,0,0.0,644,116,2018-12-01
100646,2017,1,0,0,0.0,0,0,2017-01-01
100646,2017,2,0,0,0.0,0,0,2017-02-01
100646,2017,3,0,0,0.0,0,0,2017-03-01
100646,2017,4,3,1695,1695.0,0,0,2017-04-01
100646,2017,5,1,802,802.0,0,0,2017-05-01
100646,2017,6,0,0,0.0,0,0,2017-06-01
100646,2017,7,0,0,0.0,0,0,2017-07-01
100646,2017,8,4,6656,6656.0,0,0,2017-08-01
100646,2017,9,0,0,0.0,0,0,2017-09-01
100646,2017,10,3,7491,7491.0,0,0,2017-10-01
100646,2017,11,0,0,0.0,0,0,2017-11-01
100646,2017,12,1,801,801.0,0,0,2017-12-01
100646,2018,1,1,2006,2006.0,0,0,2018-01-01
100646,2018,2,0,0,0.0,0,0,2018-02-01
100646,2018,3,0,0,0.0,0,0,2018-03-01
100646,2018,4,3,7125,7125.0,0,0,2018-04-01
100646,2018,5,0,0,0.0,0,0,2018-05-01
100646,2018,6,6,4908,4908.0,0,0,2018-06-01
100646,2018,7,2,3940,3940.0,559,101,2018-07-01
100646,2018,8,2,2882,2882.0,0,0,2018-08-01
100646,2018,9,2,1538,1538.0,0,0,2018-09-01
100646,2018,10,1,564,564.0,0,0,2018-10-01
100646,2018,11,1,1307,1307.0,0,0,2018-11-01
100646,2018,12,0,0,0.0,0,0,2018-12-01
100727,2017,1,3,1632,1632.0,0,0,2017-01-01
100727,2017,2,0,0,0.0,0,0,2017-02-01
100727,2017,3,0,0,0.0,0,0,2017-03-01
100727,2017,4,1,1137,1137.0,0,0,2017-04-01
100727,2017,5,4,9000,9000.0,425,77,2017-05-01
100727,2017,6,0,0,0.0,0,0,2017-06-01
100727,2017,7,4,7876,7876.0,0,0,2017-07-01
100727,2017,8,3,3621,3621.0,0,0,2017-08-01
100727,2017,9,3,4254,4254.0,0,0,2017-09-01
100727,2017,10,0,0,0.0,0,0,2017-10-01
100727,2017,11,0,0,0.0,0,0,2017-11-01
100727,2017,12,3,7362,7362.0,0,0,2017-12-01
100727,2018,1,4,8672,8672.0,0,0,2018-01-01
100727,2018,2,2,4180,4180.0,0,0,2018-02-01
100727,2018,3,1,2013,2013.0,468,84,2018-03-01
100727,2018,4,0,0,0.0,324,58,2018-04-01
100727,2018,5,4,3252,3252.0,0,0,2018-05-01
100727,2018,6,6,4632,4632.0,0,0,2018-06-01
100727,2018,7,4,7000,7000.0,0,0,2018-07-01
100727,2018,8,2,4298,4298.0,0,0,2018-08-01
100727,2018,9,0,0,0.0,353,64,2018-09-01
100727,2018,10,2,3494,3494.0,0,0,2018-10-01
100727,2018,11,0,0,0.0,0,0,2018-11-01
100727,2018,12,2,3170,3170.0,0,0,2018-12-01
100737,2017,1,0,0,0.0,0,0,2017-01-01
100737,2017,2,0,0,0.0,0,0,2017-02-01
100737,2017,3,0,0,0.0,0,0,2017-03-01
100737,2017,4,0,0,0.0,0,0,2017-04-01
100737,2017,5,0,0,0.0,0,0,2017-05-01
100737,2017,6,4,7240,7240.0,0,0,2017-06-01
100737,2017,7,4,2468,2468.0,0,0,2017-07-01
100737,2017,8,3,1995,1995.0,0,0,2017-08-01
100737,2017,9,0,0,0.0,0,0,2017-09-01
100737,2017,10,3,1734,1734.0,555,100,2017-10-01
100737,2017,11,4,9892,9892.0,0,0,2017-11-01
100737,2017,12,0,0,0.0,0,0,2017-12-01
100737,2018,1,2,4732,4732.0,493,89,2018-01-01
100737,2018,2,3,2046,2046.0,0,0,2018-02-01
100737,2018,3,0,0,0.0,0,0,2018-03-01
100737,2018,4,2,3642,3642.0,0,0,2018-04-01
100737,2018,5,3,3213,3213.0,0,0,2018-05-01
100737,2018,6,4,4868,4868.0,0,0,2018-06-01
100737,2018,7,5,11740,11740.0,0,0,2018-07-01
100737,2018,8,4,4888,4888.0,760,137,2018-08-01
100737,2018,9,2,1818,1818.0,549,99,2018-09-01
100737,2018,10,1,1049,1049.0,0,0,2018-10-01
100737,2018,11,3,5505,5505.0,0,0,2018-11-01
100737,2018,12,0,0,0.0,0,0,2018-12-01
100753,2017,1,2,1840,1840.0,0,0,2017-01-01
100753,2017,2,3,1608,1608.0,0,0,2017-02-01
100753,2017,3,5,8060,8060.0,0,0,2017-03-01
100753,2017,4,3,1536,1536.0,0,0,2017-04-01
100753,2017,5,0,0,0.0,0,0,2017-05-01
100753,2017,6,5,7120,7120.0,0,0,2017-06-01
100753,2017,7,4,6488,6488.0,0,0,2017-07-01
100753,2017,8,3,3015,3015.0,0,0,2017-08-01
100753,2017,9,3,2475,2475.0,0,0,2017-09-01
100753,2017,10,4,5732,5732.0,340,61,2017-10-01
100753,2017,11,3,2046,2046.0,0,0,2017-11-01
100753,2017,12,1,1328,1328.0,0,0,2017-12-01
100753,2018,1,0,0,0.0,0,0,2018-01-01
100753,2018,2,0,0,0.0,0,0,2018-02-01
100753,2018,3,4,4744,4744.0,0,0,2018-03-01
100753,2018,4,2,2164,2164.0,0,0,2018-04-01
100753,2018,5,0,0,0.0,0,0,2018-05-01
100753,2018,6,6,11760,11760.0,0,0,2018-06-01
100753,2018,7,2,2898,2898.0,0,0,2018-07-01
100753,2018,8,0,0,0.0,0,0,2018-08-01
100753,2018,9,1,1357,1357.0,410,74,2018-09-01
100753,2018,10,0,0,0.0,0,0,2018-10-01
100753,2018,11,0,0,0.0,0,0,2018-11-01
100753,2018,12,0,0,0.0,0,0,2018-12-01
100816,2017,1,3,6783,6783.0,0,0,2017-01-01
100816,2017,2,2,2126,2126.0,0,0,2017-02-01
100816,2017,3,3,6174,6174.0,0,0,2017-03-01
100816,2017,4,0,0,0.0,0,0,2017-04-01
100816,2017,5,0,0,0.0,0,0,2017-05-01
100816,2017,6,0,0,0.0,0,0,2017-06-01
100816,2017,7,0,0,0.0,0,0,2017-07-01
100816,2017,8,0,0,0.0,0,0,2017-08-01
100816,2017,9,3,3126,3126.0,0,0,2017-09-01
100816,2017,10,0,0,0.0,0,0,2017-10-01
100816,2017,11,1,801,801.0,0,0,2017-11-01
100816,2017,12,1,1371,1371.0,0,0,2017-12-01
100816,2018,1,2,1174,1174.0,0,0,2018-01-01
100816,2018,2,1,1329,1329.0,0,0,2018-02-01
100816,2018,3,2,4112,4112.0,0,0,2018-03-01
100816,2018,4,0,0,0.0,0,0,2018-04-01
100816,2018,5,0,0,0.0,0,0,2018-05-01
100816,2018,6,0,0,0.0,0,0,2018-06-01
100816,2018,7,2,2260,2260.0,0,0,2018-07-01
100816,2018,8,3,7455,7455.0,0,0,2018-08-01
100816,2018,9,2,2432,2432.0,0,0,2018-09-01
100816,2018,10,0,0,0.0,0,0,2018-10-01
100816,2018,11,4,6268,6268.0,0,0,2018-11-01
100816,2018,12,2,2242,2242.0,0,0,2018-12-01
100853,2017,1,2,1510,1510.0,0,0,2017-01-01
100853,2017,2,2,4606,4606.0,0,0,2017-02-01
100853,2017,3,2,3484,3484.0,0,0,2017-03-01
100853,2017,4,1,1215,1215.0,0,0,2017-04-01
100853,2017,5,3,3279,3279.0,0,0,2017-05-01
100853,2017,6,6,4002,4002.0,0,0,2017-06-01
100853,2017,7,0,0,0.0,0,0,2017-07-01
100853,2017,8,0,0,0.0,0,0,2017-08-01
100853,2017,9,1,2193,2193.0,579,104,2017-09-01
100853,2017,10,0,0,0.0,0,0,2017-10-01
100853,2017,11,0,0,0.0,0,0,2017-11-01
100853,2017,12,3,5595,5595.0,0,0,2017-12-01
100853,2018,1,0,0,0.0,0,0,2018-01-01
100853,2018,2,0,0,0.0,0,0,2018-02-01
100853,2018,3,0,0,0.0,0,0,2018-03-01
100853,2018,4,0,0,0.0,0,0,2018-04-01
100853,2018,5,5,7410,7410.0,0,0,2018-05-01
100853,2018,6,0,0,0.0,0,0,2018-06-01
100853,2018,7,0,0,0.0,0,0,2018-07-01
100853,2018,8,3,2619,2619.0,0,0,2018-08-01
100853,2018,9,5,2820,2820.0,0,0,2018-09-01
100853,2018,10,3,3936,3936.0,0,0,2018-10-01
100853,2018,11,3,4734,4734.0,0,0,2018-11-01
100853,2018,12,0,0,0.0,0,0,2018-12-01
100883,2017,1,3,6009,6009.0,0,0,2017-01-01
100883,2017,2,0,0,0.0,0,0,2017-02-01
100883,2017,3,0,0,0.0,0,0,2017-03-01
